title,Country.Name,year,status,type,target
Green Deal,United Kingdom,2013,Ended,"Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Economic Instruments>Fiscal/financial incentives>Loans, Economic Instruments>Direct investment","Solar>Solar photovoltaic, Multiple RE Sources, Multiple RE Sources>Heating, Multiple RE Sources>Power, Multiple RE Sources>Cooling, Multiple RE Sources>Renewable heat pumps , Solar Thermal"
Uttar Pradesh Solar Energy Policy 2013,India,2013,In Force,"Policy Support>Strategic planning, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Economic Instruments>Fiscal/financial incentives>Taxes, Economic Instruments>Direct investment>Infrastructure investments",Solar>Solar photovoltaic
Liquid Fuel Exchange Purchase,Iran,2013,In Force,"Voluntary Approaches>Negotiated Agreements (Public-private sector), Economic Instruments>Direct investment>Infrastructure investments, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums",Multiple RE Sources>All
Renewable Energy Development Fund,Iran,2013,In Force,"Economic Instruments>Direct investment>Infrastructure investments, Economic Instruments>Fiscal/financial incentives","Wind>Onshore, Solar, Geothermal, Bioenergy, Hydropower, Multiple RE Sources, Multiple RE Sources>All"
"Electrical Easement Act (N° 29,701)",Chile,2013,In Force,Regulatory Instruments,Multiple RE Sources>Power
"Regulation on funding of activities related to the production of biocomponents, liquid biofuels or other renewable fuels and their usage in transport",Poland,2013,In Force,Economic Instruments>Fiscal/financial incentives>Grants and subsidies,Bioenergy
Energy Agreement for Sustainable Growth,Netherlands,2013,In Force,Policy Support>Strategic planning,"Wind>Offshore, Multiple RE Sources>All"
National Energy Strategy 2030,Italy,2013,In Force,"Regulatory Instruments, Policy Support>Strategic planning",Multiple RE Sources
Tajikistan tax incentives for renewable energy,Tajikistan,2013,In Force,Economic Instruments>Fiscal/financial incentives>Tax relief,"Multiple RE Sources>All, Hydropower"
Feed-in-Tariffs for Biomass (Ministerial Regulation No. 19/2013),Indonesia,2013,Superseded,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums,"Bioenergy>Biomass for power, Bioenergy>Biomass for heat, Bioenergy"
"Twelfth Five Year Plan (2012–2017): Faster, More Inclusive and Sustainable Growth",India,2013,In Force,Policy Support>Strategic planning,Multiple RE Sources
Feed-in tariffs for micro and mini generation for 2013 (Portarias 430/2012 and 431 /2012),Portugal,2013,Superseded,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums,Solar>Solar photovoltaic
BPI France Innovation for SMEs - support for R&D,France,2013,Superseded,"Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Economic Instruments>Fiscal/financial incentives>Loans, Research, Development and Deployment (RD&D)>Research programme , Research, Development and Deployment (RD&D)>Research programme >Technology development",Multiple RE Sources
The Website Vindlov.se,Sweden,2013,Ended,"Policy Support, Information and Education>Information provision",Wind
Solar Photovoltaic Dispatch,Uruguay,2013,In Force,Regulatory Instruments,"Solar, Solar>Solar photovoltaic"
Overseas Renewable Energy Development Assistance Programme,United Arab Emirates,2013,In Force,"Economic Instruments>Direct investment, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Voluntary Approaches, Economic Instruments>Fiscal/financial incentives>Loans",Multiple RE Sources
Technology Fund for Innovative Technologies,Switzerland,2013,In Force,"Research, Development and Deployment (RD&D), Economic Instruments",Multiple RE Sources
Hydro-Electric Power Bill of Guyana,Guyana,2013,In Force,Economic Instruments>Direct investment>Infrastructure investments,Hydropower
Regional Australia's Renewables (RAR),Australia,2013,Superseded,"Research, Development and Deployment (RD&D)",Multiple RE Sources
Sustainable Energy for All Tajikistan 2013-2030,Tajikistan,2013,In Force,Policy Support>Strategic planning,Multiple RE Sources>All
"Venezuela Country Development Plans 2013-2019 (""Plan de la patria"")",Venezuela,2013,In Force,Policy Support>Strategic planning,Multiple RE Sources
Ministry of Energy and Water Action Plan 2013-2017,Angola,2013,In Force,"Policy Support, Policy Support>Strategic planning",Hydropower
National Energy Strategy 2013-2027,Mexico,2013,In Force,Policy Support>Strategic planning,Multiple RE Sources>Power
Global Energy Transfer Feed-in Tariff (GET FIT) Programme Uganda,Uganda,2013,In Force,"Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums, Economic Instruments>Fiscal/financial incentives>Loans","Multiple RE Sources, Multiple RE Sources>Power, Hydropower, Bioenergy>Biomass for power, Bioenergy>Co-firing with fossil fuels, Geothermal>Power, Solar>Solar photovoltaic, Wind"
Electricity Generation Expansion Plan (2013-2027),Nicaragua,2013,In Force,Policy Support>Strategic planning,Multiple RE Sources
Biogas Power (off-grid) Programme,India,2013,In Force,"Policy Support>Strategic planning, Policy Support>Institutional creation, Regulatory Instruments>Codes and standards","Bioenergy>Biomass for heat, Bioenergy>Biomass for power, Multiple RE Sources>Cooling, Multiple RE Sources>Heating, Multiple RE Sources>Power"
Biofuel Blending (Ministry Regulation No. 25/2013),Indonesia,2013,In Force,Regulatory Instruments>Codes and standards>Product standards,"Bioenergy>Biofuels for transport, Bioenergy>Biofuels for transport>Biodiesel, Bioenergy>Biofuels for transport>Bioethanol"
Green Electricity Act 2012,Austria,"2012 July (some parts, § 1, § 23 Abs. 4 und § 56 Abs. 4 entered into force already 31. July 2011)",In Force,"Economic Instruments>Fiscal/financial incentives>User charges, Policy Support>Strategic planning","Multiple RE Sources, Hydropower, Wind>Onshore, Bioenergy"
Feed-in Tariff for electricity generated from renewable energy,Japan,2012 (last updated 2016),In Force,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums,"Bioenergy>Biomass for power, Geothermal>Power, Hydropower, Solar>Solar photovoltaic, Wind>Offshore, Wind>Onshore"
Renewable Portfolio Standard (RPS),Korea,2012 (last updated 2016),In Force,"Economic Instruments>Market-based instruments>Green certificates, Economic Instruments>Market-based instruments, Regulatory Instruments>Obligation schemes","Multiple RE Sources, Multiple RE Sources>Power"
"Feed-In Tariff for Electricity Generated from Biomass, Ocean, Run-of-River Hydropower, Solar and Wind Energy Resources",Philippines,2012 (last updated 2015),In Force,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums,"Multiple RE Sources, Multiple RE Sources>Power, Hydropower, Wind, Bioenergy, Solar"
The promotion rules for the energy production from renewable energy sources,Lithuania,2012 (last amended October 2013),In Force,"Economic Instruments>Fiscal/financial incentives, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums",Multiple RE Sources>All
The Notice on the Establishment of Demonstration Areas for Large-Scale distributed solar PV Power Generation,China,2012 (Sept 14th),In Force,"Policy Support>Strategic planning, Policy Support, Regulatory Instruments",Solar
Interim Measure of Distributed Solar Power Generation On-grid Service Agreement,China,2012 (Oct 26th),In Force,"Policy Support, Policy Support>Strategic planning, Regulatory Instruments","Solar, Solar>Solar photovoltaic"
China Energy White Paper 2012,China,2012 (Oct 24th),In Force,"Policy Support, Regulatory Instruments, Policy Support>Strategic planning","Multiple RE Sources, Multiple RE Sources>Power, Bioenergy, Wind, Solar, Solar>Solar photovoltaic"
General Law of Climate Change (Ley General de Cambio Climático),Mexico,2012 (Oct 10th),In Force,Policy Support>Institutional creation,"Multiple RE Sources, Multiple RE Sources>Power"
Energy Act 2012,Croatia,2012 (November 8th),In Force,"Policy Support>Strategic planning, Regulatory Instruments",Multiple RE Sources
Regulation on Net-metering for the Producers of Electricity for Own Needs,Denmark,2012 (Nov 20th),In Force,Regulatory Instruments,"Multiple RE Sources>All, Multiple RE Sources"
Tariff System for the Production of Electricity from RES and Cogeneration,Croatia,2012 (May),In Force,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums,Multiple RE Sources
Master Plan for Renewable Energy Development (2012-2026),El Salvador,2012 (May),In Force,Policy Support>Strategic planning,"Multiple RE Sources>Power, Bioenergy, Geothermal, Solar, Solar Thermal, Wind"
The Notice on New Energy Demonstration City and Industrial Park,China,2012 (May 25th),In Force,"Policy Support, Policy Support>Strategic planning, Regulatory Instruments, Policy Support>Institutional creation, Research, Development and Deployment (RD&D)>Demonstration project",Multiple RE Sources
Private generation of wind energy,Uruguay,2012 (May 17th),In Force,Regulatory Instruments,Wind
Danish Energy Agreement for 2012-2020,Denmark,2012 (March),In Force,"Economic Instruments, Economic Instruments>Fiscal/financial incentives, Policy Support, Policy Support>Strategic planning, Regulatory Instruments, Research, Development and Deployment (RD&D)","Bioenergy, Wind, Multiple RE Sources>Heating, Multiple RE Sources>Power, Geothermal"
Notice on feed-in tariff for co-firing generators burning coal and household waste,China,2012 (March 28th),In Force,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums,"Bioenergy>Co-firing with fossil fuels, Bioenergy>Biomass for power"
Solar Power Technology Development 12th Five Year Special Plan,China,2012 (March 27th),In Force,"Policy Support, Policy Support>Institutional creation, Regulatory Instruments",Solar
Wind Power Technology Development 12th Five Year Special Planning,China,2012 (March 27th),In Force,"Policy Support>Strategic planning, Policy Support>Institutional creation, Regulatory Instruments",Wind
The Renewable Energy Tariff Surcharge Grant Funds Management Approach,China,2012 (March 14th),In Force,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums,"Multiple RE Sources>Power, Multiple RE Sources"
Electricity Purchase from Small and Medium Scale Renewable Energy and Excess Power (No. 4/2012),Indonesia,2012 (June 2nd),In Force,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums,"Multiple RE Sources, Multiple RE Sources>Power, Bioenergy, Hydropower"
Energy saving and new energy automotive industry development plan 2012-2020,China,2012 (June 28th),In Force,"Policy Support>Strategic planning, Regulatory Instruments",Multiple RE Sources
National Energy Independence Strategy,Lithuania,2012 (June 26th),In Force,Policy Support>Strategic planning,Multiple RE Sources>All
Multi-Year Tariff Order (MYTO) II (2012-2017),Nigeria,2012 (June 1st),Superseded,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums,"Multiple RE Sources>Power, Multiple RE Sources, Wind>Onshore, Solar>Solar photovoltaic, Hydropower, Bioenergy>Biomass for power"
2012 Renewable Energy Electricity feed-in tariff,China,2012 (June 12th),In Force,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums,Multiple RE Sources
Egyptian Solar Plan,Egypt,2012 (July),In Force,"Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Policy Support>Strategic planning, Regulatory Instruments>Other mandatory requirements","Multiple RE Sources>Power, Wind, Solar"
12th Five Year Plan for National Strategic Emerging Industries,China,2012 (July 9th),In Force,"Policy Support, Policy Support>Strategic planning, Regulatory Instruments","Multiple RE Sources, Multiple RE Sources>Power, Wind, Solar, Bioenergy"
Feed-in premium for renewable energy sources other than photovoltaic,Italy,2012 (July 6th),Ended,"Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums, Policy Support","Multiple RE Sources, Bioenergy, Geothermal, Hydropower, Ocean, Solar, Wind"
Feed-in premium for photovoltaic systems (Conto Energia V),Italy,2012 (July 10),Ended,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums,Solar>Solar photovoltaic
Carbon Pricing Mechanism,Australia,2012 (July 1),Ended,"Economic Instruments>Fiscal/financial incentives>Taxes, Economic Instruments>Market-based instruments, Economic Instruments>Market-based instruments>GHG emissions trading","Multiple RE Sources, Multiple RE Sources>Heating"
Samoa Energy Sector Plan,Samoa,2012 (Jul),In Force,"Policy Support, Policy Support>Strategic planning","Multiple RE Sources, Multiple RE Sources>All"
"Rule Book on incentives for generation of electricity from RES and efficient co-generation, Republic of Srpska",Bosnia and Herzegovina,2012 (January 1st),In Force,"Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums, Economic Instruments>Fiscal/financial incentives>Tax relief, Economic Instruments>Fiscal/financial incentives>Taxes, Policy Support>Strategic planning, Regulatory Instruments>Other mandatory requirements","Multiple RE Sources, Bioenergy>Co-firing with fossil fuels, Hydropower, Wind, Bioenergy"
"Decision on the amount of the feed-in prices and premiums for generation of electricity from RES and in efficient co-generation, Republic of Srpska",Bosnia and Herzegovina,2012 (January 1st),In Force,"Economic Instruments>Fiscal/financial incentives, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums, Economic Instruments>Fiscal/financial incentives>Tax relief, Economic Instruments>Fiscal/financial incentives>Taxes",Multiple RE Sources
